brand,is_right_hand_drive,confidence,reasoning
HUMMER,false,high,Американская марка - левый руль
PONTIAC,false,high,Американская марка - левый руль
LINCOLN,false,high,Американский премиум - левый руль
BUICK,false,high,Американская марка - левый руль
SATURN,false,high,Американская марка - левый руль
GMC,false,high,Американская марка (GM) - левый руль
EAGLE,false,high,Американская марка - левый руль
HARLEY-DAVIDSON,false,high,Американская мото - левый руль
INDIAN,false,high,Американская мото - левый руль
VICTORY,false,high,Американская мото - левый руль
ATK,false,high,Американская мото - левый руль
MTT,false,high,Американская мото - левый руль
FREIGHTLINER,false,high,Американский грузовик - левый руль
KENWORTH,false,high,Американский грузовик - левый руль
PETERBILT,false,high,Американский грузовик - левый руль
RENAULT,false,high,Французская марка - левый руль
PEUGEOT,false,high,Французская марка - левый руль
CITROEN,false,high,Французская марка - левый руль
DACIA,false,high,Французско-румынская (Renault) - левый руль
ALPINE,false,high,Французская спортивная марка - левый руль
VENTURI,false,high,Французская марка - левый руль
FIAT,false,high,Итальянская марка - левый руль
ALFA ROMEO,false,high,Итальянская марка - левый руль
DUCATI,false,high,Итальянская мото - левый руль
APRILIA,false,high,Итальянская мото - левый руль
MOTO GUZZI,false,high,Итальянская мото - левый руль
MOTOBI,false,high,Итальянская мото - левый руль
LAVERDA,false,high,Итальянская мото - левый руль
INNOCENTI,false,high,Итальянская марка - левый руль
BERTONE,false,high,Итальянский кузовщик - левый руль
BETA,false,high,Итальянская мото - левый руль
GILERA,false,high,Итальянская мото (испанский Piaggio) - левый руль
LAND ROVER,false,high,Британская марка - LHD-версии для РФ
JAGUAR,false,high,Британская марка - LHD-версии для РФ
MINI,false,high,BMW group - LHD-версии для РФ
ROVER,false,high,Британская марка - LHD-версии для РФ
TRIUMPH,false,high,Британская мото - LHD-версии для РФ
BSA,false,high,Британская мото - LHD-версии для РФ
ROLLS-ROYCE,false,high,Британский премиум (BMW) - LHD-версии для РФ
BRISTOL,false,high,Британская марка - LHD-версии для РФ
INVICTA,false,high,Британская марка - LHD-версии для РФ
CATERHAM,false,high,Британская марка - LHD-версии для РФ
MG,false,high,Британская марка (сейчас SAIC) - LHD-версии для РФ
CCM,false,high,Британская мото - левый руль
KTM,false,high,Австрийская мото - левый руль
HUSABERG,false,high,Австрийская мото - левый руль
PUCH,false,high,Австрийская мото - левый руль
GAS GAS,false,high,Испанская мото - левый руль
DERBI,false,high,Испанская мото - левый руль
MOTORHISPANIA,false,high,Испанская мото - левый руль
SAAB,false,high,Шведская марка - левый руль
SPYKER,false,high,Голландская марка - левый руль
SCANIA,false,high,Шведский грузовик - левый руль
IVECO,false,high,Итальянский грузовик - левый руль
DAF,false,high,Голландский грузовик - левый руль
KANUNI,false,high,Турецкая мото - левый руль
RAJDOOT,false,high,Индийская мото - левый руль
KEEWAY,false,high,Тайваньская мото - левый руль
KYMCO,false,high,Тайваньская мото - левый руль
SYM,false,high,Тайваньская мото - левый руль
PGO,false,high,Тайваньская мото - левый руль
TATA,false,high,Индийская марка (легковые/грузовые) - левый руль
MARUTI,false,high,Индийская марка (Suzuki) - левый руль
MOTOLEVO,false,high,Российская мото-марка - левый руль
SOLO,false,high,Российская мото-марка - левый руль
ALFER,false,high,Российская мото-марка - левый руль
TITAN,false,high,Российская мото-марка - левый руль
ABM,false,high,Российская мото-марка - левый руль
MOTOTRANS,false,high,Российская мото-марка - левый руль
FORSAGE,false,high,Российская мото-марка - левый руль
DANDY,false,high,Российская мото-марка - левый руль
MM,false,high,Мото-марка - левый руль
BM,false,high,Мото-марка - левый руль
SCEO,false,high,Мото-марка - левый руль
DUCAR,false,high,Мото-марка - левый руль
TOMOTO,false,high,Мото-марка - левый руль
DNEPR,false,high,Украинская мото - левый руль
MINSK,false,high,Белорусская мото - левый руль
HOWO,false,high,Китайский грузовик (Sinotruk) - левый руль
SHACMAN,false,high,Китайский грузовик - левый руль
SHAANXI,false,high,Китайский грузовик - левый руль
SITRAK,false,high,Китайский грузовик (Sinotruk) - левый руль
FOTON,false,high,Китайский грузовик - левый руль
DONG FENG,false,high,Китайский грузовик - левый руль
DONGHAI,false,high,Китайский грузовик - левый руль
SHEN LONG,false,high,Китайский автобус - левый руль
YUTONG,false,high,Китайский автобус - левый руль
HIGER,false,high,Китайский автобус - левый руль
KING LONG,false,high,Китайский автобус - левый руль
GEELY,false,high,Китайская марка - левый руль
CHERY,false,high,Китайская марка - левый руль
HAVAL,false,high,Китайская марка - левый руль
EXEED,false,high,Китайская марка (Chery премиум) - левый руль
GAC,false,high,Китайская марка - левый руль
BYD,false,high,Китайская марка - левый руль
CHANGAN,false,high,Китайская марка - левый руль
FAW,false,high,Китайская марка - левый руль
JAC,false,high,Китайская марка - левый руль
GREAT WALL,false,high,Китайская марка - левый руль
LIFAN,false,high,Китайская марка - левый руль
JIANGHUAI,false,high,Китайская марка - левый руль
JIANGLING,false,high,Китайский грузовик - левый руль
JINBEI,false,high,Китайская марка - левый руль
JINCHENG,false,high,Китайская мото - левый руль
LIXIANG,false,high,Китайская марка - левый руль
SHUANGHUAN,false,high,Китайская марка - левый руль
SOUEAST,false,high,Китайская марка - левый руль
HUABEI,false,high,Китайская мото - левый руль
TIANYE,false,high,Китайская мото - левый руль
SHUCHI,false,high,Китайская мото - левый руль
KINLON MOTORS,false,high,Китайская мото - левый руль
DADI,false,high,Китайская марка - левый руль
BEIJING,false,high,Китайская марка - левый руль
BEIFAN,false,high,Китайская марка - левый руль
BRILLIANCE,false,high,Китайская марка - левый руль
FUQI,false,high,Китайская марка - левый руль
XINGFU,false,high,Китайская мото - левый руль
ZONDA,false,high,Китайский автобус - левый руль
ZX,false,high,Китайская марка - левый руль
HONLING,false,high,Китайская мото - левый руль
REGAL RAPTOR,false,high,Китайская мото - левый руль
CHANG-JIANG,false,medium,Китайская мото (копия BMW R71) - LHD
AC,false,high,Британская марка (AC Cars) - LHD-версии для РФ
IRISBUS,false,high,Итальянский автобус (Iveco group) - левый руль
MCC,false,high,Smart (Mercedes Micro Compact Car) - левый руль
REIEJU,false,high,Испанская мото (Rieju) - левый руль
KANGDA,false,high,Китайская спецтехника - левый руль
SRECTRE,false,high,Неизвестная марка (возможно опечатка) - по умолчанию LHD
